dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.676613,15.284350,0.010000,0.400000,8.000000,160.000000,0.000000
0.050000,1.716613,15.284350,0.050000,0.800000,8.000000,0.000000,0.000000
0.050000,1.806613,15.284350,0.140000,1.800000,20.000000,240.000000,0.000000
0.050000,1.956613,15.284350,0.290000,3.000000,24.000000,80.000000,0.000000
0.050000,2.166613,15.284350,0.500000,4.200000,24.000000,-0.000000,0.000000
0.050000,2.436613,15.284350,0.770000,5.400000,24.000000,0.000000,0.000000
0.050000,2.766613,15.284350,1.100000,6.600000,24.000000,-0.000000,0.000000
0.050000,3.156613,15.284350,1.490000,7.800000,24.000000,-0.000000,0.000000
0.050000,3.606613,15.284350,1.940000,9.000000,24.000000,0.000000,0.000000
0.050000,4.116613,15.284350,2.450000,10.200000,24.000000,0.000000,0.000000
0.050000,4.676613,15.284350,3.010000,11.200000,20.000000,-80.000000,0.000000
0.050000,5.266613,15.284350,3.600000,11.800000,12.000000,-160.000000,0.000000
0.050000,5.866613,15.284350,4.200000,12.000000,4.000000,-160.000000,0.000000
0.050000,6.466613,15.284350,4.800000,12.000000,0.000000,-80.000000,0.000000
0.050000,7.062169,15.284350,5.395556,11.911129,-1.777418,-35.548356,0.000000
0.050000,7.638838,15.284350,5.972226,11.533387,-7.554836,-115.548356,0.000000
0.050000,8.176621,15.284350,6.510008,10.755646,-15.554836,-160.000000,0.000000
0.050000,8.659960,15.284350,6.993347,9.666775,-21.777418,-124.451644,0.000000
0.050000,9.083298,15.284350,7.416686,8.466775,-24.000000,-44.451644,0.000000
0.050000,9.446637,15.284350,7.780024,7.266775,-24.000000,0.000000,0.000000
0.050000,9.749976,15.284350,8.083363,6.066775,-24.000000,0.000000,0.000000
0.050000,9.993314,15.284350,8.326702,4.866775,-24.000000,-0.000000,0.000000
0.050000,10.176653,15.284350,8.510040,3.666775,-24.000000,0.000000,0.000000
0.050000,10.299992,15.284350,8.633379,2.466775,-24.000000,-0.000000,0.000000
0.050000,10.367774,15.284350,8.701162,1.355646,-22.222582,35.548356,0.000000
0.050000,10.394444,15.284350,8.727831,0.533387,-16.445164,115.548356,0.000000
0.050000,10.400000,15.284350,8.733387,0.111129,-8.445164,160.000000,0.000000
0.050000,10.400000,15.284350,8.733387,0.000000,-2.222582,124.451644,0.000000
